japanese,kana,chinese,group_key
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",N3
週,しゅう,week,N3
州,しゅう,"state, province",N3
銃,じゅう,gun,N3
周囲,しゅうい,"surroundings, circumference, environs",N3
収穫,しゅうかく,"harvest, crop, ingathering",N3
宗教,しゅうきょう,religion,N3
重視,じゅうし,"importance, stress",N3
就職,しゅうしょく,finding employment,N3
ジュース,ジュース,"juice, soft drink; deuce",N3
修正,しゅうせい,"amendment, correction",N3
重体,じゅうたい,"seriously ill, critical state",N3
渋滞,じゅうたい,"congestion (e.g., traffic), delay",N3
重大,じゅうだい,"serious, important",N3
住宅,じゅうたく,"resident, housing",N3
集団,しゅうだん,"group, mass",N3
集中,しゅうちゅう,"concentration, focusing the mind",N3
収入,しゅうにゅう,"income, revenue",N3
住民,じゅうみん,"inhabitants, residents",N3
重要,じゅうよう,"important, essential",N3
修理,しゅうり,"repairing, mending",N3
主義,しゅぎ,"doctrine, cause, principle",N3
宿泊,しゅくはく,lodging,N3
手術,しゅじゅつ,surgical operation,N3
首相,しゅしょう,Prime Minister,N3
手段,しゅだん,"means, way, measure",N3
主張,しゅちょう,"claim, insistence, assertion",N3
出場,しゅつじょう,participation,N3
出身,しゅっしん,come from,N3
出版,しゅっぱん,publication,N3
首都,しゅと,capital city,N3
主婦,しゅふ,housewife,N3
主要,しゅよう,"chief, main",N3
需要,じゅよう,demand,N3
種類,しゅるい,"variety, kind",N3
順,じゅん,"order, turn",N3
瞬間,しゅんかん,"moment, second",N3
順調,じゅんちょう,doing well,N3
順番,じゅんばん,"turn (in line), order of things",N3
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",N3
小,しょう,small,N3
章,しょう,"chapter, section; medal",N3
賞,しょう,"prize, award",N3
上,じょう,first volume; superior quality; governmental,N3
障害,しょうがい,"obstacle, impediment",N3
奨学金,しょうがくきん,scholarship,N3
乗客,じょうきゃく,passenger,N3
上京,じょうきょう,proceeding to the capital (Tokyo),N3
状況,じょうきょう,"state of affairs, situation",N3
条件,じょうけん,"conditions, terms",N3
正午,しょうご,"noon, mid-day",N3
正直,しょうじき,"honesty, integrity, frankness",N3
常識,じょうしき,common sense,N3
少女,しょうじょ,young girl,N3
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),N3
症状,しょうじょう,"symptoms, condition",N3
生じる,しょうじる,"to occur, to arise, to be generated",N3
状態,じょうたい,"condition, situation",N3
上達,じょうたつ,"improvement, advance",N3
冗談,じょうだん,a joke,N3
上等,じょうとう,"first class, very good",N3
衝突,しょうとつ,"collision, conflict",N3
商人,しょうにん,"trader, shopkeeper, merchant",N3
承認,しょうにん,"recognition, approval",N3
少年,しょうねん,"boys, juveniles",N3
商売,しょうばい,"trade, business, commerce",N3
消費,しょうひ,"consumption, expenditure",N3
商品,しょうひん,"commodity, merchandise",N3
賞品,しょうひん,"prize, trophy",N3
消防,しょうぼう,"fire fighting, fire department",N3
情報,じょうほう,"information, (military) intelligence",N3
証明,しょうめい,"proof, verification",N3
省略,しょうりゃく,"omission, abbreviation, abridgment",N3
女王,じょおう,queen,N3
職,しょく,employment,N3
職業,しょくぎょう,"occupation, business",N3
食卓,しょくたく,dining table,N3
食品,しょくひん,foodstuff,N3
植物,しょくぶつ,"plant, vegetation",N3
食物,しょくもつ,"food, foodstuff",N3
食欲,しょくよく,appetite (for food),N3
食料,しょくりょう,food,N3
食糧,しょくりょう,"provisions, rations",N3
書斎,しょさい,"study, den",N3
女子,じょし,"woman, girl",N3
助手,じょしゅ,"helper, assistant",N3
徐々に,じょじょに,"slowly, little by little",N3
署名,しょめい,signature,N3
書物,しょもつ,books,N3
女優,じょゆう,actress,N3
処理,しょり,"processing, treatment, disposition",N3
書類,しょるい,"documents, official papers",N3
知らせ,しらせ,notice,N3
尻,しり,"buttocks, bottom",N3
知合い,しりあい,acquaintance,N3
印,しるし,mark; symbol; evidence,N3
城,しろ,castle,N3
進学,しんがく,going on to university,N3
神経,しんけい,"nerve, sensitivity",N3
真剣,しんけん,"seriousness, earnestness",N3
信仰,しんこう,"(religious) faith, belief",N3
信号,しんごう,"traffic lights, signal, semaphore",N3
人工,じんこう,"artificial, man made, human work,",N3
深刻,しんこく,serious,N3
診察,しんさつ,medical examination (of a patient),N3
人種,じんしゅ,race (of people),N3
信じる,しんじる,to believe,N3
人生,じんせい,"(human) life (e.g., conception to death)",N3
親戚,しんせき,relative(s),N3
新鮮,しんせん,fresh,N3
心臓,しんぞう,heart,N3
身体,しんたい,the body,N3
身長,しんちょう,"height (of body), stature",N3
慎重,しんちょう,"careful, prudent, cautious",N3
審判,しんぱん,"umpire, referee, judgment",N3
人物,じんぶつ,"character, personality, talented man",N3
進歩,しんぽ,"improvement, progress, development",N3
親友,しんゆう,"close friend, buddy",N3
信用,しんよう,"confidence, dependence",N3
信頼,しんらい,"reliance, trust, confidence",N3
心理,しんり,mentality,N3
人類,じんるい,"mankind, humanity",N3
巣,す,"nest, breeding place",N3
酢,す,vinegar,N3
図,ず,"figure, drawing, illustration",N3
水準,すいじゅん,"level, standard",N3
推薦,すいせん,recommendation,N3
スイッチ,スイッチ,switch,N3
睡眠,すいみん,sleep,N3
数,すう,"number, figure",N3
数字,すうじ,"numeral, figure",N3
スープ,スープ,(Western) soup,N3
末,すえ,"the end of, powder",N3
姿,すがた,"figure, shape, appearance",N3
スキー,スキー,ski,N3
救う,すくう,"to rescue from, to help out of",N3
すくなくとも,すくなくとも,at least,N3
優れる,すぐれる,"to surpass, to outstrip, to excel",N3
スケート,スケート,"skate(s), skating",N3
スケジュール,スケジュール,schedule,N3
少しも,すこしも,"anything of, not one bit",N3
過ごす,すごす,"to pass, to spend (time)",N3
筋,すじ,"muscle, string, line",N3
進める,すすめる,"to advance, to promote, to hasten",N3
勧める,すすめる,"to urge (someone) to do (something), to recommend",N3
スター,スター,star,N3
スタイル,スタイル,style,N3
スタンド,スタンド,stand,N3
頭痛,ずつう,headache,N3
ずっと,ずっと,for a long time; all the time; consecutively,N3
すっぱい,すっぱい,"sour, acid",N3
すてき,すてき,"lovely, great",N3
既に,すでに,already (same as もう),N3
すなわち,すなわち,"that is, namely, e.g.",N3
スピーチ,スピーチ,speech,N3
全て,すべて,"all, the whole, entirely",N3
済ませる,すませる,to be finished,N3
角,すみ,corner,N3
墨,すみ,ink,N3
すみません (かん),すみません (かん),"sorry, excuse me",N3
澄む,すむ,"to clear (e.g., weather), to become transparent",N3
清む,すむ,"to clear (e.g., weather), to become transparent",N3
刷る,する,to print,N3
為る,する,"to do, to attempt",N3
鋭い,するどい,"pointed, sharp",N3
すれ違う,すれちがう,to pass by one another,N3
ずれる,ずれる,"move, off the point",N3
正,せい,"(logical) true, regular",N3
生,せい,birth,N3
性,せい,"sex, gender",N3
姓,せい,"surname, family name",N3
所為,せい,"cause, reason, fault",N3
税,ぜい,tax,N3
性格,せいかく,"character, personality",N3
正確,せいかく,"accurate, punctuality, exact",N3
世紀,せいき,century,N3
請求,せいきゅう,"claim, demand, request",N3
税金,ぜいきん,"tax, duty",N3
清潔,せいけつ,clean,N3
制限,せいげん,"restriction, restraint, limitation",N3
成功,せいこう,"success, hit",N3
正式,せいしき,"official, formal",N3
性質,せいしつ,"nature, property, disposition",N3
精神,せいしん,"mind, soul, spirit",N3
成人,せいじん,adult,N3
精々,せいぜい,"at the most, at best",N3
成績,せいせき,"grade (i.e., on a test), academic record",N3
製造,せいぞう,"manufacture, production",N3
贅沢,ぜいたく,"luxury, extravagance",N3
成長,せいちょう,growth,N3
生長,せいちょう,growth,N3
制度,せいど,"system, institution",N3
青年,せいねん,"youth, young man",N3
生年月日,せいねんがっぴ,birth date,N3
製品,せいひん,"manufactured goods, finished goods",N3
政府,せいふ,"government, administration",N3
生物,せいぶつ,"living thing, organism",N3
生命,せいめい,life,N3
整理,せいり,"sorting, arrangement",N3
咳,せき,cough,N3
石炭,せきたん,coal,N3
責任,せきにん,"duty, responsibility",N3
石油,せきゆ,"oil, petroleum, kerosene",N3
世間,せけん,"world, society",N3
説,せつ,theory,N3
積極的,せっきょくてき,"positive, active, proactive",N3
設計,せっけい,"plan, design",N3
絶対,ぜったい,"definitely, without fail, absoluteness",N3
セット,セット,set,N3
愛,あい,love,N3
相変わらず,あいかわらず,"as ever, as usual",N3
愛情,あいじょう,"love, affection",N3
合図,あいず,"sign, signal",N3
アイスクリーム,アイスクリーム,ice cream,N3
愛する,あいする,to love,N3
相手,あいて,partner; addressee; the person you are talking to,N3
あいにく,あいにく,unfortunately,N3
遭う,あう,"to meet, to encounter (undesirable nuance)",N3
アウト,アウト,out,N3
明かり,あかり,"lamplight, light (in general)",N3
空き,あき,"vacancy, opening, space",N3
明らか,あきらか,"obvious, clear",N3
諦める,あきらめる,"to give up, to abandon",N3
飽きる,あきる,"to get tired of, to lose interest in",N3
握手,あくしゅ,handshake,N3
悪魔,あくま,"devil, demon, evil spirit",N3
明ける,あける,"to dawn, to become daylight",N3
揚げる,あげる,"to lift, to fry",N3
挙げる,あげる,"to raise; to list, to cite",N3
預かる,あずかる,to keep (something) for (someone),N3
預ける,あずける,"to give into custody, to deposit",N3
汗,あせ,"sweat, perspiration",N3
与える,あたえる,to give,N3
温かい,あたたかい,warm,N3
暖まる,あたたまる,to warm up,N3
温まる,あたたまる,"to warm oneself, to get warm",N3
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",N3
温める,あたためる,"to warm, to heat",N3
辺り,あたり,"vicinity, nearby",N3
当たり前,あたりまえ,"usual, common, obvious",N3
当たる,あたる,"to be hit, to be successful",N3
あちこち,あちこち,here and there,N3
扱う,あつかう,"to treat, to handle, to deal with",N3
集まり,あつまり,"gathering, meeting, collection",N3
当てる,あてる,to hit; to apply to,N3
跡,あと,trace; remains; scar,N3
穴,あな,hole,N3
油,あぶら,oil,N3
脂,あぶら,fat,N3
誤り,あやまり,error,N3
粗,あら,"defect, flaw, fault",N3
嵐,あらし,storm,N3
争う,あらそう,"to dispute, to argue, to fight",N3
新た,あらた,"new, fresh",N3
あらゆる,あらゆる,"all, every",N3
表す,あらわす,"to express, to show",N3
現す,あらわす,"to show, to appear, to reveal",N3
著す,あらわす,"to write, to publish",N3
現れ,あらわれ,"expression, indication, sign",N3
現れる,あらわれる,"to appear (v.i.), to become visible; to express",N3
ありがとう,ありがとう,Thank you,N3
在る; 有る,ある,"to live, to be, to exist",N3
或,ある,"a certain..., some...",N3
あるいは,あるいは,"or, perhaps",N3
アルバム,アルバム,album,N3
泡,あわ,"bubble, foam",N3
合わせる,あわせる,to combine,N3
慌てる,あわてる,to become confused、to panic,N3
哀れ,あわれ,"helpless, pity, pathetic",N3
案,あん,"plan, scheme, proposal",N3
案外,あんがい,unexpectedly,N3
暗記,あんき,"memorization, learning by heart",N3
安定,あんてい,"stability, equilibrium",N3
あんなに,あんなに,"to that extent, to that degree",N3
あんまり,あんまり,"not very, not much",N3
胃,い,stomach,N3
委員,いいん,committee member,N3
意外,いがい,"unexpected, surprising",N3
行き,いき,going,N3
行き,ゆき,going,N3
息,いき,breath,N3
勢い,いきおい,"force, vigor, momentum",N3
生き物,いきもの,"living thing, creature",N3
いけない,いけない,"must not do, bad, wrong",N3
医師,いし,"doctor, physician",N3
意思,いし,"intention, purpose",N3
意志,いし,"will, volition",N3
維持,いじ,"maintenance, preservation",N3
意識,いしき,"consciousness, senses",N3
異常,いじょう,"strangeness, abnormality, disorder",N3
意地悪,いじわる,"malicious, mean, unkind",N3
泉,いずみ,"spring, fountain",N3
いずれ,いずれ,"where, which, who",N3
以前,いぜん,in the past; before,N3
板,いた,"board, plank",N3
偉大,いだい,greatness,N3
抱く,いだく,"to hold (v.t.) (written expression), to embrace, to harbor",N3
いたずら,いたずら,"trick, practical joke",N3
いただきます,いただきます,expression of gratitude before meals,N3
痛み,いたみ,"pain, ache, sore",N3
至る,いたる,"to come, to arrive",N3
市,いち,"market, fair",N3
位置,いち,"place, position",N3
一時,いちじ,"for a time, temporarily",N3
一度に,いちどに,all at once,N3
市場,いちば,"market, bazaar",N3
いつか,いつか,"sometime, one day",N3
一家,いっか,"family, clan",N3
一種,いっしゅ,"a species, a kind, a variety",N3
一瞬,いっしゅん,"a moment, an instant",N3
一生,いっしょう,throughout (one's) life,N3
一層,いっそう,"much more, still more",N3
一体,いったい,one object; body; what on earth?; generally,N3
一致,いっち,agreement; conformity,N3
いつでも,いつでも,"(at) any time, always",N3
いつのまにか,いつのまにか,before one knows,N3
一般,いっぱん,"general, average",N3
一方,いっぽう,on the other hand; meanwhile,N3
いつまでも,いつまでも,"forever, for good, eternally",N3
移動,いどう,"migration, movement",N3
従兄弟,いとこ,cousin (male),N3
従姉妹,いとこ,cousin (female),N3
稲,いね,rice-plant,N3
居眠り,いねむり,"dozing, nodding off",N3
命,いのち,life,N3
違反,いはん,"violation (of law), infringement",N3
衣服,いふく,clothes,N3
居間,いま,living room,N3
今に,いまに,"before long, soon",N3
今にも,いまにも,"at any time, soon",N3
イメージ,イメージ,one's image,N3
否,いや,"no, the noes",N3
以来,いらい,"since, henceforth",N3
依頼,いらい,request; dependence,N3
いらいら,いらいら,"getting nervous, irritation",N3
いらっしゃい,いらっしゃい,welcome,N3
医療,いりょう,"medical care, medical treatment",N3
岩,いわ,rock,N3
祝い,いわい,"celebration, festival",N3
祝う,いわう,"to congratulate, to celebrate",N3
言わば,いわば,so to speak,N3
いわゆる,いわゆる,"the so-called, so-to-speak",N3
インク,インク,ink,N3
印刷,いんさつ,printing,N3
印象,いんしょう,impression,N3
引退,いんたい,retirement,N3
インタビュー,インタビュー,interview,N3
引用,いんよう,"quotation, citation",N3
ウイスキー,ウイスキー,whiskey,N3
上,うわ,"upper, outer, surface",N3
魚,うお,fish,N3
うがい,うがい,gargling,N3
受け取る,うけとる,"to receive, to get, to accept",N3
動かす,うごかす,"to move, to shift",N3
兎,うさぎ,"rabbit, hare",N3
牛,うし,"cattle, cow",N3
失う,うしなう,"to lose, to part with",N3
疑う,うたがう,"to doubt, to distrust",N3
宇宙,うちゅう,"universe, cosmos, space",N3
討つ,うつ,"to attack, to avenge",N3
撃つ,うつ,"to attack, to shoot",N3
うっかり,うっかり,carelessly; inadvertently,N3
映す,うつす,"to project, to reflect, to cast (shadow)",N3
訴える,うったえる,"to complain, to appeal, to sue (a person)",N3
写る,うつる,"to be photographed, to be projected",N3
映る,うつる,"to be reflected, to come out (photo)",N3
うなる,うなる,"to groan, to moan",N3
奪う,うばう,"to rob, to deprive",N3
馬,うま,horse; promoted bishop (in Japanese chess known as shogi),N3
生まれ,うまれ,"birth, birth-place",N3
有無,うむ,"yes or no, presence or absence",N3
梅,うめ,"plum, lowest (of a three-tier ranking system)",N3
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",N3
裏切る,うらぎる,"to betray, to turn traitor",N3
羨ましい,うらやましい,"envious, enviable",N3
売れる,うれる,to be sold,N3
噂,うわさ,"rumor, gossip",N3
運,うん,"fortune, luck",N3
運転,うんてん,"operation, driving",N3
柄,え,"handle (of a sword, dagger, etc.), grip",N3
永遠,えいえん,"eternity, perpetuity, immortality",N3
永久,えいきゅう,"eternity, perpetuity, immortality",N3
影響,えいきょう,"influence, effect",N3
営業,えいぎょう,"business, trade, management",N3
衛星,えいせい,satellite,N3
栄養,えいよう,"nutrition, nourishment",N3
笑顔,えがお,smile (on one's face),N3
描く,えがく,"to draw, to depict, to describe",N3
餌,えさ,"feed, bait",N3
エネルギー,エネルギー,energy (GER: energie),N3
得る,える,"to get, to gain, to win, to learn",N3
得る,うる,"to get, to gain, to win",N3
円,えん,"circle, yen",N3
延期,えんき,"postponement, adjournment",N3
演技,えんぎ,"acting, performance",N3
援助,えんじょ,"assistance, aid, support",N3
エンジン,エンジン,engine,N3
演説,えんぜつ,"speech, address",N3
演奏,えんそう,musical performance,N3
老い,おい,"old age, the aged",N3
追い付く,おいつく,"to overtake, to catch up (with)",N3
王,おう,king,N3
追う,おう,"to chase, to run after",N3
応援,おうえん,"aid, assistance, help",N3
王様,おうさま,king,N3
王子,おうじ,prince,N3
応じる,おうじる,"to adapt, to respond, to comply with",N3
横断,おうだん,crossing,N3
終える,おえる,to finish,N3
大いに,おおいに,"much, considerably (same as 大変 (たいへん)), greatly",N3
覆う,おおう,"to cover, to hide, to conceal",N3
大家,おおや,landlord,N3
丘,おか,"hill, height",N3
沖,おき,open sea,N3
奥,おく,"interior, inner part",N3
贈る,おくる,"to present, to give to, to award to",N3
起こる,おこる,"to occur, to happen",N3
押える,おさえる,"to stop, to restrain, to press down",N3
幼い,おさない,"very young, childish",N3
収める,おさめる,"to store to pay, to supply",N3
納める,おさめる,"to store to pay, to supply",N3
治める,おさめる,"to govern, to manage; to subdue",N3
お辞儀,おじぎ,bow,N3
お洒落,おしゃれ,"smartly dressed, fashion-conscious",N3
お喋り,おしゃべり,"chattering, talk",N3
汚染,おせん,"pollution, contamination",N3
恐らく,おそらく,perhaps,N3
恐れる,おそれる,"to fear, to be afraid of",N3
恐ろしい,おそろしい,"terrible, dreadful",N3
教わる,おそわる,to be taught,N3
お互い,おたがい,"mutual, reciprocal, each other",N3
穏やか,おだやか,"calm, gentle, quiet",N3
男の人,おとこのひと,man,N3
大人しい,おとなしい,"obedient, docile, quiet",N3
劣る,おとる,"to fall behind, to be inferior to",N3
鬼,おに,"ogre, demon, 'it' (e.g.,in a game of tag)",N3
帯,おび,"band, sash",N3
お昼,おひる,"lunch, noon",N3
オフィス,オフィス,office,N3
溺れる,おぼれる,"to be drowned, to indulge in",N3
お前,おまえ,"you (sing), presence (of a high personage)",N3
おめでとう,おめでとう,"Congratulations!, an auspicious occasion!",N3
お目に掛かる,おめにかかる,"meet ~, see ~",N3
思い付く,おもいつく,"to think of, to hit upon",N3
思い出,おもいで,"memories, recollections, reminiscence",N3
主に,おもに,"mainly, primarily",N3
思わず,おもわず,"unintentional, spontaneous",N3
泳ぎ,およぎ,swimming,N3
およそ,およそ,"about, roughly, approximately",N3
及ぼす,およぼす,"to exert, to cause, to exercise",N3
下す,おろす,"to lower, to let go down",N3
降ろす,おろす,"to take down, to launch, to drop",N3
卸す,おろす,"to sell wholesale, grated (vegetables)",N3
音,おん,"sound, note",N3
恩,おん,"favor, obligation, debt of gratitude",N3
温暖,おんだん,warmth,N3
温度,おんど,temperature,N3
可,か,passable,N3
蚊,か,mosquito,N3
課,か,"department, division",N3
カー,カー,car,N3
カード,カード,"card, curd",N3
貝,かい,"shell, shellfish",N3
害,がい,"harm, damage",N3
会員,かいいん,"member, the membership",N3
絵画,かいが,"picture, painting",N3
海外,かいがい,"foreign, abroad, overseas",N3
会計,かいけい,"account, finance",N3
解決,かいけつ,"settlement, solution, resolution",N3
会合,かいごう,"meeting, assembly",N3
外交,がいこう,diplomacy,N3
開始,かいし,"start, commencement, beginning",N3
解釈,かいしゃく,"explanation, interpretation",N3
外出,がいしゅつ,"outing, going out",N3
改善,かいぜん,"betterment, improvement",N3
快適,かいてき,"pleasant, agreeable",N3
回復,かいふく,"recovery (from illness), rehabilitation, restoration",N3
飼う,かう,to keep; to own (a pet); to raise; to feed,N3
帰す,かえす,to send back,N3
代える,かえる,"to exchange, to interchange, to substitute",N3
替える,かえる,"to exchange, to interchange, to substitute",N3
換える,かえる,"to exchange, to interchange, to substitute",N3
反る,かえる,"to warp, to be warped, to curve",N3
香り,かおり,"aroma, fragrance",N3
画家,がか,painter,N3
抱える,かかえる,to hold or carry under or in the arms,N3
価格,かかく,"price, value",N3
化学,かがく,chemistry,N3
輝く,かがやく,"to shine, to glitter, to sparkle",N3
係,かかり,person in charge,N3
罹る,かかる,to suffer from,N3
限る,かぎる,"to restrict, to limit, to confine",N3
掻く,かく,to scratch,N3
描く,かく,"to draw, to depict, to describe",N3
嗅ぐ,かぐ,"to sniff, to smell",N3
家具,かぐ,furniture,N3
学,がく,"learning, knowledge",N3
額,がく,amount; frame,N3
覚悟,かくご,"resolution, resignation, readiness",N3
確実,かくじつ,"certainty, reliability, soundness",N3
学者,がくしゃ,scholar,N3
学習,がくしゅう,"study, learning",N3
隠す,かくす,"to hide, to conceal",N3
拡大,かくだい,"magnification, enlargement",N3
確認,かくにん,"affirmation, confirmation",N3
学問,がくもん,"scholarship, study, learning",N3
隠れる,かくれる,"to hide, to be hidden",N3
影,かげ,"shade, shadow, other side",N3
陰,かげ,"shade, shadow, other side",N3
欠ける,かける,to be lacking,N3
加減,かげん,adjustment; addition and subtraction,N3
過去,かこ,past,N3
籠,かご,"basket, cage",N3
囲む,かこむ,"to surround, to encircle",N3
火災,かさい,"conflagration, fire",N3
重なる,かさなる,"to be piled up, lie on top of one another",N3
重ねる,かさねる,"to pile up, to put something on another, to heap up",N3
飾り,かざり,decoration,N3
貸し,かし,"loan, lending",N3
菓子,かし,"confectionery, sweet",N3
家事,かじ,household matters; housework (same as 家の仕事 (いえのしごと)),N3
賢い,かしこい,"wise, clever, smart",N3
歌手,かしゅ,singer,N3
数,かず,"number, figure, amount",N3
稼ぐ,かせぐ,"to earn income, to labor",N3
数える,かぞえる,to count,N3
型,かた,"mold, model, style",N3
肩,かた,shoulder,N3
堅い,かたい,"hard, firm, solid",N3
硬い,かたい,"hard, firm, solid",N3
方々,かたがた,persons,N3
片付く,かたづく,"to put in order, to solve",N3
刀,かたな,"sword, saber",N3
語る,かたる,"to talk, to tell, to recite",N3
勝ち,かち,"win, victory",N3
価値,かち,"value, worth, merit",N3
がっかり,がっかり,"feel disappointed, be dejected, lose heart",N3
活気,かっき,vigor; liveliness; vitality; energy,N3
楽器,がっき,musical instrument,N3
学期,がっき,term (school),N3
活動,かつどう,"action, activity",N3
活躍,かつやく,activity,N3
活用,かつよう,conjugation; practical use,N3
仮定,かてい,"assumption, supposition, hypothesis",N3
過程,かてい,process,N3
課程,かてい,"course, curriculum",N3
悲しむ,かなしむ,"to be sad, to mourn for, to regret",N3
必ずしも,かならずしも,"(not) always, (not) necessarily",N3
かなり,かなり,"considerably, fairly, quite",N3
金,かね,"gold, metal; money",N3
鐘,かね,"bell, chime",N3
可能,かのう,"possible, practicable, feasible",N3
株,かぶ,stock; stump (of tree),N3
被る,かぶる,to wear; to be covered with,N3
我慢,がまん,"patience, endurance, perseverance",N3
上,かみ,first volume; superior quality; governmental,N3
神,かみ,god,N3
雷,かみなり,thunder,N3
髪の毛,かみのけ,hair (head),N3
科目,かもく,"(school) subject, curriculum, course",N3
かもしれない,かもしれない,"maybe, perhaps",N3
かゆい,かゆい,"itchy, itching",N3
歌謡,かよう,"song, ballad",N3
空,から,empty,N3
殻,から,"shell, husk, hull",N3
柄,がら,pattern; build; character,N3
刈る,かる,"to cut (hair), to mow (grass), to harvest",N3
河,かわ,"river, stream",N3
皮,かわ,"skin, hide, leather",N3
革,かわ,leather,N3
可愛そう,かわいそう,"poor, pitiable, pathetic",N3
可愛らしい,かわいらしい,"lovely, sweet",N3
乾かす,かわかす,to dry,N3
渇く,かわく,to be thirsty,N3
代る,かわる,"to take the place of, to relieve, to be substituted for",N3
缶,かん,"can, tin",N3
勘,かん,"perception, intuition, the sixth sense",N3
考え,かんがえ,"thinking, thought, ideas",N3
感覚,かんかく,"sense, sensation",N3
間隔,かんかく,"space, interval, SPC",N3
観客,かんきゃく,"audience, spectator(s)",N3
環境,かんきょう,"environment, circumstance",N3
歓迎,かんげい,"welcome, reception",N3
観光,かんこう,sightseeing,N3
観察,かんさつ,"observation, survey",N3
感じ,かんじ,"feeling, sense, impression",N3
感謝,かんしゃ,"thanks, gratitude",N3
患者,かんじゃ,patient,N3
勘定,かんじょう,"calculation, counting, consideration",N3
感情,かんじょう,"emotion(s), feeling(s), sentiment",N3
感じる,かんじる,"to feel, to sense",N3
感心,かんしん,admiration,N3
関心,かんしん,"concern, interest",N3
関する,かんする,"to concern, to be related",N3
完成,かんせい,"complete, completion; perfection",N3
完全,かんぜん,"perfection, completeness",N3
乾燥,かんそう,"dry, arid, dehydrated",N3
感想,かんそう,"(one's) impressions, (one's) thoughts",N3
感動,かんどう,"being deeply moved, excitement",N3
監督,かんとく,"supervision, control, (movie) director",N3
管理,かんり,"control, management (e.g., of a business)",N3
完了,かんりょう,"completion, conclusion",N3
関連,かんれん,"relation, connection, relevance",N3
議員,ぎいん,"member of the Diet, congress, or parliament",N3
記憶,きおく,"memory, recollection, remembrance",N3
気温,きおん,temperature (weather - not used for things),N3
機械,きかい,"machine, machinery",N3
